pagePath,pageTitle,pageviews
/data/,Data and Visualization Services | Duke University Libraries,9908
/data/news,News & Workshops | Duke University Libraries,5465
/data/collections/iterate,International Terrorism: Attributes of Terrorist Events (ITERATE ) | Duke University Libraries,4449
/data/data-visualization,Data Visualization | Duke University Libraries,4021
/data/about,About Data and Visualization Services | Duke University Libraries,3973
/data/collections/icrg,International Country Risk Guide Researchers Dataset (ICRG) | Duke University Libraries,2169
/data/about/schedule,Walk-In Schedule | Duke University Libraries,2143
/data/about/staff,Staffing and Contact Information | Duke University Libraries,1752
/data/about/lab,The Brandaleone Lab for Data and Visualization Services | Duke University Libraries,1735
/data/guides/map_tools,A Comparison of Online Digital Mapping Tools | Duke University Libraries,1704
/data/collections/gis/esri/tutorials,ArcGIS Tutorials | Duke University Libraries,1637
/data/guides,Data and Visualization Guides | Duke University Libraries,1542
/data/collections,Collections | Duke University Libraries,1304
/data/collections/polk_vehicle,Polk 's New Vehicle Registration and National Vehicle Population Profile | Duke University Libraries,1304
/data/guides/data-management,Data Management Guide | Duke University Libraries,1080
/data/collections/podes,Village Potential Statistics (PODES) Dataset — Indonesia | Duke University Libraries,1066
/data/collections/popest,U.S. Census Population Estimates — County Level | Duke University Libraries,1041
/data/collections/gis/esri,ESRI Data and Maps GIS Layers | Duke University Libraries,817
/data/news/past-workshops,Workshop materials | Duke University Libraries,809
/data/collections/gis/esri/esri_2013,ESRI Data and Maps 2013 | Duke University Libraries,599
/data/collections/gis/durham/index_usda,Durham Historical Aerial Photographs | Duke University Libraries,554
/data/collections/polidata,Polidata Presidential Results By Congressional District 1992-2008 (Duke Only) | Duke University Libraries,448
/data/collections/gis/durham,Durham GIS Features | Duke University Libraries,389
/data/collections/selected,Data Licensed for Duke Users | Duke University Libraries,375
/data/news/,News & Workshops | Duke University Libraries,369
/data/gis,GIS | Duke University Libraries,361
/data/collections/gis/durham/aerials_durham_gmap,Durham Aerial Imagery (USDA) | Duke University Libraries,330
/data/collections/referenceusa,Reference USA Historical Business Data | Duke University Libraries,327
/data/collections/,Collections | Duke University Libraries,319
/data/collections/gis/duke,Duke University GIS Layers and Aerial Photography | Duke University Libraries,319
/data/collections/nss,National Sample Survey (India) | Duke University Libraries,263
/data/guides/data-management/copyright-licensing,"Copyright, licensing and intellectual property issues for data | Duke University Libraries",263
/data/guides/data-management/,Data Management Guide | Duke University Libraries,243
/data/guides/data-management/help-at-duke,Data Management Consultations | Duke University Libraries,229
/data/collections/national-study-changing-workforce,National Study of the Changing Workforce | Duke University Libraries,221
/data/collections/ccdb,Historical County and City Data Books | Duke University Libraries,190
/data/collections/cac-vietnam,Combat Area Casualties Dataset | Duke University Libraries,182
/data/data-management-best-practices,Data Management Best Practices | Duke University Libraries,173
/data/news/contest2016,2016 Student Data Visualization Contest | Duke University Libraries,171
/data/courses/housing_foreclosures,Housing and Foreclosures Data and Information | Duke University Libraries,165
/data/collections/gis/address_locators,Address Locator Files | Duke University Libraries,159
/data/guides/CloudStorageAnalytics,Cloud Storage | Duke University Libraries,157
/data/guides/data-management/repositories,Data repositories | Duke University Libraries,157
/data/data-consulting,Data Consulting | Duke University Libraries,151
/data/collections/gis/global_gis,Global GIS DVD | Duke University Libraries,137
/data/data-management,Research Data Management | Duke University Libraries,120
/data/collections/euratlas,Euratlas Historical Vector Data | Duke University Libraries,115
/data/research-data-management,Research Data Management | Duke University Libraries,104
/data/guides/data-management/repositories/,Data repositories | Duke University Libraries,90
/data/collections/ccdb/county,Historical County and City Data Books - County Data | Duke University Libraries,87
/data/data-management/,Research Data Management | Duke University Libraries,87
/data/collections/lapop,Latin American Public Opinion Project (LAPOP) Data | Duke University Libraries,84
/data/collections/gis/esri/esri_2010,ESRI Data and Maps 2010 | Duke University Libraries,81
/data/collections/dcas-casualties,Defense Casualty Analysis System Dataset | Duke University Libraries,73
/data/collections/census10_nc,Census 2010 Maps — North Carolina Counties and Tracts | Duke University Libraries,70
/data/news/past-workshops,Past Workshops | Duke University Libraries,70
/data/sharing-data-repository,Sharing Data in a Repository | Duke University Libraries,67
/data/collections/gis/duke/duke_aerials,Duke University Aerial Imagery | Duke University Libraries,64
